"Carimbo de data/hora","Você utiliza o estacionamento da UFABC?","Em qual campus você estaciona?","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Manhã]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Tarde]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Noite]","Em qual horário de chegada você encontra maior dificuldade em estacionar?","Em média, quanto tempo você aguarda na fila do estacionamento?","Você acha que o seu tempo de espera poderia ser reduzido com alguma melhoria no controle de vagas?","Você se sente seguro estacionando fora da faculdade?","Quais informações sobre o estacionamento da UFABC você gostaria ter em mãos, em um aplicativo?","Adicione sugestões e comentários",""
"2019/07/03 8:06:44 PM GMT-3","Sim","UFABC - Santo André","","","","06:30","Entre 15 e 30 min","Sim","","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário","Teste","Noite"
"2019/07/03 8:13:18 PM GMT-3","Sim","UFABC - Santo André","","","","05:00","Entre 5 e 15 min","Sim","","Tempo médio de espera na fila em tempo real","","Noite"
"2019/07/10 7:19:32 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","17:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento","",""
"2019/07/10 7:29:23 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:45","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento","",""
"2019/07/10 7:29:37 PM GMT-3","Sim","UFABC - Santo André","","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","18:00","Entre 30 min e 1 hora","Sim","Sim","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:29:43 PM GMT-3","Sim","UFABC - Santo André","","Segunda;Quinta;Sexta","","16:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:29:47 PM GMT-3","Sim","UFABC - Santo André","Segunda;Quarta;Sexta","","","18:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:29:54 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:30:04 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:30:08 PM GMT-3","Sim","UFABC - Santo André","","","Sexta","18:30","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:30:33 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:30:44 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:30","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/10 7:30:55 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta","19:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real","",""
"2019/07/10 7:31:49 PM GMT-3","Sim","UFABC - Santo André","","","Terça;Quarta;Quinta;Sexta","18:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento","",""
"2019/07/10 7:31:58 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","19:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:32:08 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Quarta;Quinta","16:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento","",""
"2019/07/10 7:32:32 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:33:28 PM GMT-3","Sim","UFABC - São Bernardo do Campo","Segunda;Terça;Quarta;Quinta;Sexta","","","","Entre 0 e 5 min","Não","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/10 7:33:30 PM GMT-3","Sim","UFABC - Santo André","Quarta;Sexta","Quinta","Quinta","16:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário","",""
"2019/07/10 7:33:33 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:35:00 PM GMT-3","Sim","UFABC - Santo André","","","Terça;Quinta","18:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","Não sei se seria útil, mas poderia ter algo exclusivo sobre aquelas vagas PP perto das pilastras. Ex: caso exista uma vaga disponível (exatamente aquele espremida entre as pilastras) um carro grande entraria no estacionamento mas não conseguiria parar o carro por falta de espaço.",""
"2019/07/10 7:36:38 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","19:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/10 7:37:29 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:37:37 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Terça;Quarta;Quinta;Sexta","19:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/10 7:37:46 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Quarta","18:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/10 7:38:21 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/10 7:38:28 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","19:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:39:23 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:40:17 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento","1) Melhor gestão das vagas que são reservadas para professores/TAs. Qual o percentual ideal que deveria ser reservado? Quais dias da semana devem ser reservadas mais e quais devem ser reservadas menos vagas? Pois muitas vagas ficam livres desnecessariamente, sem que ninguém as utilize.
2) Sistema que informe se há vagas livres, pois os funcionários que ficam na portaria fazem isso manualmente, o que pode ocasionar demora e um trabalho enorme de ficar contando vaga por vaga.",""
"2019/07/10 7:40:43 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","17:30","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:41:06 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:42:01 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:42:11 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","17:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/10 7:42:24 PM GMT-3","Sim","UFABC - Santo André","","Sexta","Sexta","17:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:42:51 PM GMT-3","Sim","UFABC - Santo André","Quinta","Terça;Quarta;Sexta","","15:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/10 7:43:14 PM GMT-3","Sim","UFABC - Santo André","Terça;Sexta","Segunda;Quarta;Quinta","","16:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 7:43:35 PM GMT-3","Sim","UFABC - Santo André","","Terça","Terça","14:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário","",""
"2019/07/10 7:44:27 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","Sexta","Terça;Sexta","","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário","",""
"2019/07/10 7:44:31 PM GMT-3","Sim","UFABC - Santo André","","","Quinta;Sexta","17:15","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/10 7:51:12 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:51:40 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 7:54:33 PM GMT-3","Sim","UFABC - Santo André","Sábado","","Segunda;Terça;Quarta;Quinta;Sexta","17:00","Mais de 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/10 8:02:49 PM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","Terça;Quinta","14:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/10 8:05:21 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 8:35:16 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta;Sexta","","Entre 0 e 5 min","Não","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 8:40:05 PM GMT-3","Sim","UFABC - Santo André","","","Terça;Quarta;Quinta","19:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 8:47:52 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 8:52:04 PM GMT-3","Sim","UFABC - Santo André","Terça;Quarta;Quinta;Sexta","","","08:40","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:00:50 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta","18:30","Entre 0 e 5 min","Sim","Sim","Quantidade de vagas disponíveis em tempo real;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:08:55 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:50","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:10:02 PM GMT-3","Sim","UFABC - Santo André","","Sexta","Quarta;Sexta","16:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:12:30 PM GMT-3","Sim","UFABC - Santo André","Terça;Quarta;Quinta;Sexta","","Segunda;Terça;Quarta;Quinta;Sexta","17:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:17:04 PM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Sexta","","","","Mais de 1 hora","Não","","Quantidade de vagas disponíveis em tempo real","",""
"2019/07/10 9:18:52 PM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta","","Segunda;Terça;Quarta;Quinta;Sexta","18:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
